,Device Name,D3- 2934627 Vent 2,,,,,,,,,,,,,
,Device Model,Kestrel D3 FIRE,,,,,,,,,,,,,
,Serial Number,2934627,,,,,,,,,,,,,
,FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Relative Humidity,Station Pressure,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
,yyyy-MM-dd hh:mm:ss a,°C,°C,%,mb,°C,°C,,,,,,,,
10:25,8/1/2025 10:25,20.5,17.3,72.5,1054.5,20.6,15.4,point,,,,,,,
10:30,8/1/2025 10:30,20.9,16.7,65.2,1051.5,20.7,14.1,point,,,,,,,
10:35,8/1/2025 10:35,21,16.6,63.7,1051,20.9,13.9,point,,,,,,,
10:40,8/1/2025 10:40,21.1,16.5,62.9,1051,21,13.8,point,,,,,,,
10:45,8/1/2025 10:45,21,16.4,62.6,1050.9,20.9,13.6,point,,,,,,,
10:50,8/1/2025 10:50,20.8,16.2,62.6,1050.8,20.6,13.4,point,,,,,,,
10:55,8/1/2025 10:55,20.2,15.9,64.2,1050.6,19.9,13.2,point,,,,,,,
11:00,8/1/2025 11:00,19.9,15.8,65.1,1050.9,19.5,13.2,point,,,,,,,
11:05,8/1/2025 11:05,20.1,16,65.8,1050.7,19.6,13.5,point,,,,,,,
11:10,8/1/2025 11:10,20.4,16.1,64,1050.8,20.1,13.4,point,,,,,,,
11:15,8/1/2025 11:15,20.7,16.2,62.9,1051.7,20.5,13.4,point,,,,,,,
11:20,8/1/2025 11:20,21.2,16.8,65,1051.7,21.1,14.3,point,,,,,,,
11:25,8/1/2025 11:25,21.4,16.8,63,1051.9,21.4,14.1,point,,,,,,,
11:30,8/1/2025 11:30,21.3,16.7,63.1,1055.1,21.4,14,point,,,,,,,
11:35,8/1/2025 11:35,21.4,16.9,63.6,1050.7,21.4,14.2,point,,,,,,,
11:40,8/1/2025 11:40,21.9,18.1,69.2,1050,22.2,16,point,,,,,,,
11:45,8/1/2025 11:45,22.4,18.5,69.1,1049.9,22.7,16.4,point,,,,,,,
11:50,8/1/2025 11:50,22.5,18.4,68,1049.5,22.7,16.3,point,,,,,,,
11:55,8/1/2025 11:55,22.6,18.5,67.6,1049.5,22.9,16.3,point,,,,,,,
12:00,8/1/2025 12:00,22.5,18.1,65.4,1049.3,22.6,15.7,point,,,,,,,
12:05,8/1/2025 12:05,22.5,18.3,66.5,1049.4,22.7,15.9,point,,,,,,,
12:10,8/1/2025 12:10,22.4,18,65.5,1049.4,22.6,15.7,point,,,,,,,
12:15,8/1/2025 12:15,22,17.4,63.8,1049.4,22.1,14.8,point,,,,,,,
12:20,8/1/2025 12:20,22.3,18,66.4,1048.8,22.5,15.7,point,,,,,,,
12:25,8/1/2025 12:25,22.1,18,66.6,1049,22.4,15.6,point,,,,,,,
12:30,8/1/2025 12:30,22.4,18.4,68.4,1048.9,22.7,16.3,point,,,,,,,
12:35,8/1/2025 12:35,22.5,18.6,68.9,1048.8,22.8,16.5,point,,,,,,,
12:40,8/1/2025 12:40,22.6,18.6,68.6,1048.7,22.8,16.5,point,,,,,,,
12:45,8/1/2025 12:45,22.6,18.5,67.9,1048.5,22.8,16.3,point,,,,,,,
12:50,8/1/2025 12:50,22.6,18.4,67.4,1048.3,22.8,16.2,point,,,,,,,
12:55,8/1/2025 12:55,22.5,18.3,67.2,1048.1,22.8,16.1,point,,,,,,,
13:00,8/1/2025 13:00,22.6,18.5,67.4,1048,22.9,16.3,point,,,,,,,
13:05,8/1/2025 13:05,22.5,18.2,66.2,1048,22.8,15.9,point,,,,,,,
13:10,8/1/2025 13:10,22.5,18.2,66.2,1047.7,22.7,15.8,point,,,,,,,
13:15,8/1/2025 13:15,22.4,18.1,66.4,1047.6,22.7,15.8,point,,,,,,,
13:20,8/1/2025 13:20,22.4,18.1,66.3,1048,22.6,15.8,point,,,,,,,
