Device Name,D3 - 2934668 Vent 1,,,,,,,,,,,,,
Device Model,Kestrel D3 FIRE,,,,,,,,,,,,,
Serial Number,2934668,,,,,,,,,,,,,
FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Relative Humidity,Station Pressure,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
yyyy-MM-dd hh:mm:ss a,°C,°C,%,mb,°C,°C,,,,,,,,
8/1/2025 10:20,18.4,15.9,77.4,1050.8,18,14.4,point,,,,,,,
8/1/2025 10:25,19.4,16,69.7,1054.1,19,13.8,point,,,,,,,
8/1/2025 10:30,19.8,15.8,66.7,1051,19.4,13.4,point,,,,,,,
8/1/2025 10:35,20.1,16,65.4,1050.5,19.6,13.4,point,,,,,,,
8/1/2025 10:40,20.3,16,64.4,1050.6,20,13.4,point,,,,,,,
8/1/2025 10:45,20.3,15.9,63.6,1050.5,20,13.2,point,,,,,,,
8/1/2025 10:50,20.4,16,63.4,1050.3,20,13.2,point,,,,,,,
8/1/2025 10:55,20.2,15.8,63.7,1050.2,19.8,13.1,point,,,,,,,
8/1/2025 11:00,20.2,15.8,63.7,1050.3,19.7,13.1,point,,,,,,,
8/1/2025 11:05,20.2,16,64.9,1050.3,19.9,13.4,point,,,,,,,
8/1/2025 11:10,20.1,15.8,64.3,1050.1,19.7,13.1,point,,,,,,,
8/1/2025 11:15,19.8,15.6,64.4,1051.2,19.2,12.9,point,,,,,,,
8/1/2025 11:20,19.6,15.7,66.8,1051.2,19,13.2,point,,,,,,,
8/1/2025 11:25,20.2,17,72.9,1051.3,20.1,15.2,point,,,,,,,
8/1/2025 11:30,20.4,16.7,68.7,1054.4,20.3,14.5,point,,,,,,,
8/1/2025 11:35,21.1,16.9,66,1049.9,21.1,14.5,point,,,,,,,
8/1/2025 11:40,21.2,16.8,65,1049.8,21.1,14.3,point,,,,,,,
8/1/2025 11:45,21.1,16.8,64.8,1049.8,21.1,14.3,point,,,,,,,
8/1/2025 11:50,21.1,16.8,64.5,1049.2,21.1,14.2,point,,,,,,,
8/1/2025 11:55,21.1,16.8,64.4,1049.4,21.1,14.1,point,,,,,,,
8/1/2025 12:00,21.2,16.9,65,1048.9,21.1,14.3,point,,,,,,,
8/1/2025 12:05,21.3,17.2,66.2,1049,21.5,14.8,point,,,,,,,
8/1/2025 12:10,21.2,16.9,65.5,1049.1,21.1,14.5,point,,,,,,,
8/1/2025 12:15,21.2,17.3,67.3,1048.9,21.3,14.9,point,,,,,,,
8/1/2025 12:20,21.2,17.3,68,1048.5,21.3,15.1,point,,,,,,,
8/1/2025 12:25,21.2,17.2,67.5,1048.8,21.2,14.9,point,,,,,,,
8/1/2025 12:30,21.1,17.1,67.2,1048.6,21.2,14.8,point,,,,,,,
8/1/2025 12:35,21.1,17,66.8,1048.4,21.2,14.7,point,,,,,,,
8/1/2025 12:40,21.1,17,66.6,1048.3,21.1,14.6,point,,,,,,,
8/1/2025 12:45,21,16.9,65.8,1048.1,21,14.4,point,,,,,,,
8/1/2025 12:50,21,16.9,65.9,1048,20.8,14.4,point,,,,,,,
8/1/2025 12:55,20.9,16.9,66.1,1047.8,20.9,14.4,point,,,,,,,
8/1/2025 13:00,20.9,16.8,65.8,1048,20.8,14.3,point,,,,,,,
8/1/2025 13:05,22.7,18.4,66.2,1047.8,23,16.1,point,,,,,,,
8/1/2025 13:10,21.9,17.3,63,1047.3,22,14.6,point,,,,,,,
8/1/2025 13:15,21.6,17,63.4,1047.3,21.7,14.3,point,,,,,,,
8/1/2025 13:20,21.3,16.8,63.6,1047.6,21.4,14.1,point,,,,,,,
8/1/2025 13:25,21.2,16.8,64.1,1047.6,21.1,14.1,point,,,,,,,
8/1/2025 13:30,20.8,16.4,63.5,1047.3,20.7,13.7,point,,,,,,,
8/1/2025 13:35,20.8,16.3,63.7,1047.4,20.5,13.6,point,,,,,,,
8/1/2025 13:40,20.8,16.4,64.6,1047.3,20.6,13.8,point,,,,,,,
8/1/2025 13:45,20.7,16.3,64.2,1047.7,20.6,13.7,point,,,,,,,
8/1/2025 13:50,20.7,16.4,64.8,1047.1,20.6,13.9,point,,,,,,,
8/1/2025 13:55,20.8,16.6,65.5,1047.3,20.6,14.1,point,,,,,,,
8/1/2025 14:00,21.5,17.3,66,1046.9,21.8,14.9,point,,,,,,,
8/1/2025 14:05,22.2,17.8,64.8,1046.9,22.4,15.3,point,,,,,,,
8/1/2025 14:10,22.8,18.2,64.3,1047,22.9,15.7,point,,,,,,,
8/1/2025 14:15,22.5,17.7,62.8,1046.7,22.5,15,point,,,,,,,
8/1/2025 14:20,22.5,17.8,63.6,1046.7,22.6,15.2,point,,,,,,,
8/1/2025 14:25,22.9,18.2,64,1046.7,23,15.7,point,,,,,,,
8/1/2025 14:30,22.6,17.9,63,1046.7,22.6,15.2,point,,,,,,,
8/1/2025 14:35,22.3,17.5,62.5,1046.7,22.4,14.8,point,,,,,,,
8/1/2025 14:40,22.4,17.9,64.8,1046.5,22.6,15.5,point,,,,,,,
8/1/2025 14:45,23.2,18.7,64.9,1046.6,23.4,16.3,point,,,,,,,
8/1/2025 14:50,23.3,18.8,65,1046.7,23.5,16.4,point,,,,,,,
8/1/2025 14:55,23,18.1,62.9,1046.6,23,15.5,point,,,,,,,
8/1/2025 15:00,22.6,17.7,62.1,1046.5,22.7,15,point,,,,,,,
8/1/2025 15:05,21.9,17.1,62.4,1046.5,22,14.4,point,,,,,,,
8/1/2025 15:10,22,17.4,64.1,1046.6,22.1,14.9,point,,,,,,,
8/1/2025 15:15,22.7,18.1,64.9,1046.5,22.8,15.7,point,,,,,,,
8/1/2025 15:20,22.4,17.7,63.3,1046.6,22.6,15.1,point,,,,,,,
8/1/2025 15:25,22.2,17.5,63,1046.7,22.3,14.8,point,,,,,,,
8/1/2025 15:30,22.1,17.6,64.3,1046.4,22.3,15.1,point,,,,,,,
8/1/2025 15:35,22.5,18.1,65.4,1046.3,22.6,15.7,point,,,,,,,
8/1/2025 15:40,22.8,18.3,64.7,1046.3,22.9,15.8,point,,,,,,,
8/1/2025 15:45,22.4,17.8,63.5,1046.3,22.6,15.2,point,,,,,,,
8/1/2025 15:50,22.2,17.6,63.7,1046.4,22.3,15,point,,,,,,,
8/1/2025 15:55,21.8,17.3,64.5,1046.5,22,14.8,point,,,,,,,
8/1/2025 16:00,21.6,17.2,64.9,1046.5,21.8,14.8,point,,,,,,,
8/1/2025 16:05,22,17.6,64.8,1046.3,22.1,15,point,,,,,,,
8/1/2025 16:10,21.9,17.1,62.5,1046.5,21.9,14.4,point,,,,,,,
8/1/2025 16:15,22,17.3,63.3,1046.1,22.1,14.7,point,,,,,,,
8/1/2025 16:20,22.4,17.8,63.8,1046.6,22.5,15.2,point,,,,,,,
8/1/2025 16:25,22.3,17.9,65.2,1046.7,22.4,15.4,point,,,,,,,
8/1/2025 16:30,22.3,17.9,65.1,1047,22.5,15.5,point,,,,,,,
8/1/2025 16:35,22.3,17.8,64.5,1046.8,22.5,15.3,point,,,,,,,
8/1/2025 16:40,22.2,17.8,65.4,1046.5,22.4,15.4,point,,,,,,,
,,,,,,,,,,,,,,
Average,22.38148148,17.77777778,,,,,,,,,,,,
90th percentile,22.94,18.24,,,,,,,,,,,,
Peak,23.3,18.8,,,,,,,,,,,,
