Customer,Job Site,Make,Model,Serial Number,Unit Number,Inspection Date,Entered Date,SMU,Form,Question Group,Question,Reading,Eval
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,15/03/2025,16/03/2025,7129,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Compartment Temperature,Record the Engine Oil temp 70-75c,83,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,15/03/2025,16/03/2025,7129,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The CO ppm",0,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,15/03/2025,16/03/2025,7129,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO ppm",11,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,15/03/2025,16/03/2025,7129,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO2 ppm",2.5,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,15/03/2025,16/03/2025,7129,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NOX ppm",3.83,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,15/03/2025,16/03/2025,7129,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The CO ppm",3,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,15/03/2025,16/03/2025,7129,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NO ppm",62,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,15/03/2025,16/03/2025,7129,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NO2 ppm",3.4,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,15/03/2025,16/03/2025,7129,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NOX ppm",6.03,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG22URE0011,LD084,15/03/2025,16/03/2025,7129,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The CO ppm",6,A
