Customer,Job Site,Make,Model,Serial Number,Unit Number,Inspection Date,Entered Date,SMU,Form,Question Group,Question,Reading,Eval
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0892,LD071,14/03/2025,15/03/2025,18747,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Compartment Temperature,Record the Engine Oil temp 70-75c,87,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0892,LD071,14/03/2025,15/03/2025,18747,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The CO ppm",63,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0892,LD071,14/03/2025,15/03/2025,18747,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO ppm",6,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0892,LD071,14/03/2025,15/03/2025,18747,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NO2 ppm",2.4,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0892,LD071,14/03/2025,15/03/2025,18747,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s IDLE Record The NOX ppm",8.4,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0892,LD071,14/03/2025,15/03/2025,18747,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The CO ppm",93,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0892,LD071,14/03/2025,15/03/2025,18747,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NO ppm",24,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0892,LD071,14/03/2025,15/03/2025,18747,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NO2 ppm",3.6,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0892,LD071,14/03/2025,15/03/2025,18747,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emmissions High Idle HV,"AAAA - Anc, Rock, Road Mtc and IT s HIGH IDLE Record The NOX ppm",27.6,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0892,LD071,14/03/2025,15/03/2025,18747,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The CO ppm",240,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0892,LD071,14/03/2025,15/03/2025,18747,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NO ppm",270,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0892,LD071,14/03/2025,15/03/2025,18747,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NO2 ppm",5.3,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0892,LD071,14/03/2025,15/03/2025,18747,"AAAA - Ancillary, Rock breakers, Road Mtc and IT's HV Diesel Emission Testing",Emissions Stall HV,"AAAA - Anc, Rock, Road Mtc and IT s STALL Record The NOX ppm",275,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0892,LD071,14/03/2025,15/03/2025,18747,HV Diesel Particulate Emission Testing,Emmissions Particulate Test Record,Record the Engine Oil temp 70-75c,82,A
NEWMONT_MOBILE_FLEET,CADIA EAST,Epiroc,ST18,TMG18URE0892,LD071,14/03/2025,15/03/2025,18747,HV Diesel Particulate Emission Testing,Emmissions Particulate Test Record,"HV Diesel particulate, mg/m3 EC",20,A
