Machine Number,Category,Reading
RB016,- DPM mg/m3,23400
RB016,- DPM mg/m3,0
RB016,- DPM mg/m3,200
RB016,- DPM mg/m3,420
RB016,IDLE CO,222
RB016,IDLE NO,335
RB016,IDLE NO2,4.9
RB016,IDLE NOX,339.9
RB016,IDLE CO,109
RB016,IDLE NO,179
RB016,IDLE NO2,2.5
RB016,IDLE NOX,181.5
RB016,IDLE CO,142
RB016,IDLE NO,209
RB016,IDLE NO2,0.09
RB016,IDLE NOX,209.9
RB016,HIGH IDLE CO,176
RB016,HIGH IDLE NO,144
RB016,HIGH IDLE NO2,2.5
RB016,HIGH IDLE NOX,146.5
RB016,HIGH IDLE CO,29
RB016,HIGH IDLE NO,38
RB016,HIGH IDLE NO2,0.5
RB016,HIGH IDLE NOX,38.5
RB016,HIGH IDLE CO,137
RB016,HIGH IDLE NO,167
RB016,HIGH IDLE NO2,0.7
RB016,HIGH IDLE NOX,167.7
RB016,STALL CO,291
RB016,STALL NO,194
RB016,STALL NO2,3.2
RB016,STALL NOX,197.2
RB016,STALL CO,28
RB016,STALL NO,36
RB016,STALL NO2,0.4
RB016,STALL NOX,36.4
RB016,STALL CO,107
RB016,STALL NO,166
RB016,STALL NO2,0
RB016,STALL NOX,166
