Ranger Serial Number:,2326-1000047-A
UTC time,Local time,LocationID,PM1 (ug/m3),PM2.5 (ug/m3),PMrsp (ug/m3),PM10 (ug/m3),TSP (ug/m3),Status(f:fail a:aging w:warming-up z:zerocal c:spancal)
2025-08-01 01:28:00,2025-08-01 11:28:00,45,6.0,43.3,176.6,1081.2,1889.0,
2025-08-01 01:29:00,2025-08-01 11:29:00,45,6.6,53.3,197.4,1079.5,1865.9,
2025-08-01 01:30:00,2025-08-01 11:30:00,45,14.5,112.1,446.8,3003.8,5291.8,
2025-08-01 01:31:00,2025-08-01 11:31:00,46,20.3,124.1,424.3,2811.2,4948.3,
2025-08-01 01:32:00,2025-08-01 11:32:00,46,19.3,91.1,210.2,821.8,1365.1,
2025-08-01 01:33:00,2025-08-01 11:33:00,46,17.5,81.6,191.3,850.7,1438.3,
2025-08-01 01:34:00,2025-08-01 11:34:00,46,16.7,71.7,141.7,451.8,726.3,
2025-08-01 01:35:00,2025-08-01 11:35:00,46,15.6,73.1,182.4,945.1,1626.6,
2025-08-01 01:36:00,2025-08-01 11:36:00,46,15.4,76.7,189.5,782.7,1309.9,
2025-08-01 01:37:00,2025-08-01 11:37:00,46,15.3,82.9,224.9,937.9,1570.8,
2025-08-01 01:38:00,2025-08-01 11:38:00,46,13.7,65.3,174.4,966.6,1675.0,
2025-08-01 01:39:00,2025-08-01 11:39:00,46,12.3,54.2,113.5,410.0,673.2,
2025-08-01 01:40:00,2025-08-01 11:40:00,46,12.5,54.0,107.5,250.3,374.5,
2025-08-01 01:41:00,2025-08-01 11:41:00,46,12.3,49.8,91.3,164.4,226.6,
2025-08-01 01:42:00,2025-08-01 11:42:00,46,10.4,43.0,80.3,149.6,208.7,
2025-08-01 01:43:00,2025-08-01 11:43:00,46,9.9,41.5,77.8,148.3,208.5,
2025-08-01 01:44:00,2025-08-01 11:44:00,46,9.7,39.5,74.8,135.5,187.0,
2025-08-01 01:45:00,2025-08-01 11:45:00,46,9.0,37.3,71.9,133.7,186.2,
2025-08-01 01:46:00,2025-08-01 11:46:00,46,8.9,35.9,69.6,133.1,187.4,
2025-08-01 01:47:00,2025-08-01 11:47:00,46,8.3,33.8,64.6,121.3,169.7,
2025-08-01 01:48:00,2025-08-01 11:48:00,46,7.9,31.6,60.0,116.0,163.9,
2025-08-01 01:49:00,2025-08-01 11:49:00,46,7.3,29.7,57.8,112.2,158.7,
2025-08-01 01:50:00,2025-08-01 11:50:00,46,6.7,27.8,54.8,105.3,148.3,
2025-08-01 01:51:00,2025-08-01 11:51:00,46,6.1,25.4,49.7,95.8,135.3,
2025-08-01 01:52:00,2025-08-01 11:52:00,46,5.8,22.6,43.9,89.4,128.6,
2025-08-01 01:53:00,2025-08-01 11:53:00,46,4.7,19.1,37.4,84.4,125.2,
2025-08-01 01:54:00,2025-08-01 11:54:00,46,4.3,17.4,34.6,75.2,110.3,
2025-08-01 01:55:00,2025-08-01 11:55:00,46,4.4,17.4,33.9,74.1,108.9,
2025-08-01 01:56:00,2025-08-01 11:56:00,46,4.5,17.9,35.7,76.9,112.5,
2025-08-01 01:57:00,2025-08-01 11:57:00,46,4.3,16.9,33.0,72.2,106.3,
2025-08-01 01:58:00,2025-08-01 11:58:00,46,4.1,15.5,30.2,70.9,106.3,
2025-08-01 01:59:00,2025-08-01 11:59:00,46,3.9,15.4,29.3,64.9,95.7,
2025-08-01 02:00:00,2025-08-01 12:00:00,46,3.6,14.3,28.9,64.2,94.8,
