Ranger Serial Number:,,,,,,,,
UTC time,Local time,LocationID,PM1 (ug/m3),PM2.5 (ug/m3),PMrsp (ug/m3),PM10 (ug/m3),TSP (ug/m3),Status(f:fail a:aging w:warming-up z:zerocal c:spancal)
8/21/2023 23:26,8/22/2023 9:26,55,9.1,60.2,206.8,1394.1,2491.8,
8/21/2023 23:27,8/22/2023 9:27,55,3.2,25.4,97.6,985.8,1812.8,
8/21/2023 23:28,8/22/2023 9:28,55,1.6,10.1,30.2,207.2,371.1,
8/21/2023 23:29,8/22/2023 9:29,55,5.2,43.3,181,1560.6,2841.1,
8/21/2023 23:30,8/22/2023 9:30,55,8.5,75.1,379.8,4439.5,8223.5,
8/21/2023 23:31,8/22/2023 9:31,55,6.4,53.1,277.6,3617,6733.7,
8/21/2023 23:32,8/22/2023 9:32,55,8.5,119.7,1140.7,14813.5,27558.6,
8/21/2023 23:33,8/22/2023 9:33,55,8.6,117,762,7420.3,13603.6,
8/21/2023 23:34,8/22/2023 9:34,55,11,119,566.2,4773.8,8675.1,
8/21/2023 23:35,8/22/2023 9:35,55,9.8,99.2,615.1,8236.8,15349.8,
8/21/2023 23:36,8/22/2023 9:36,55,6.3,42.8,172.4,1640.1,3005.1,
8/21/2023 23:37,8/22/2023 9:37,55,5,39.2,174.6,1566.9,2859.9,
8/21/2023 23:38,8/22/2023 9:38,55,5.5,50,202.8,1397.9,2502,
8/21/2023 23:39,8/22/2023 9:39,55,1.6,5.7,15.2,75,130,
8/21/2023 23:40,8/22/2023 9:40,55,1.4,5.8,15.4,72,123.9,
8/21/2023 23:41,8/22/2023 9:41,55,1.3,5.3,13.8,70.5,122.7,
8/21/2023 23:42,8/22/2023 9:42,55,1.2,5.1,13.5,68,118.1,
8/21/2023 23:43,8/22/2023 9:43,55,1.2,5.4,14.4,77.8,136.1,
8/21/2023 23:44,8/22/2023 9:44,55,1.2,5.6,14.4,67.3,115.9,
8/21/2023 23:45,8/22/2023 9:45,55,1.2,5.5,15.8,65.2,110.2,
8/21/2023 23:46,8/22/2023 9:46,55,1.2,5.9,17.7,76.3,129.8,
8/21/2023 23:47,8/22/2023 9:47,55,1.3,6.3,18.7,91.5,158.3,
8/21/2023 23:48,8/22/2023 9:48,55,1.3,6.8,19.6,84.7,144.1,
8/21/2023 23:49,8/22/2023 9:49,55,1.3,6.7,19.5,78.6,132.5,
8/21/2023 23:50,8/22/2023 9:50,55,1.3,6.9,18.8,76.8,129.7,
8/21/2023 23:51,8/22/2023 9:51,55,1.4,7.1,19.5,77.1,129.4,
8/21/2023 23:52,8/22/2023 9:52,55,1.3,6.7,19.5,74.1,123.7,
8/21/2023 23:53,8/22/2023 9:53,55,1.3,6.5,18.1,76.9,130.6,
8/21/2023 23:54,8/22/2023 9:54,55,1.2,6.6,17.4,68,114,
8/21/2023 23:55,8/22/2023 9:55,55,1.2,6.2,17.5,62.7,103.7,
8/21/2023 23:56,8/22/2023 9:56,55,1.2,6.4,19.5,87.6,149.9,
8/21/2023 23:57,8/22/2023 9:57,55,1.1,6.2,19.1,88.7,152.3,
8/21/2023 23:58,8/22/2023 9:58,55,1.1,6,17.4,81.4,140.1,
8/21/2023 23:59,8/22/2023 9:59,55,1.1,5.7,16.7,75.6,129.5,
8/22/2023 0:00,8/22/2023 10:00,55,1,5.5,16.2,73.7,126.4,
8/22/2023 0:01,8/22/2023 10:01,55,1,5.4,16.2,65.5,110.3,
8/22/2023 0:02,8/22/2023 10:02,55,1.1,5.6,14.7,65.4,111.9,
