,Device Name,Vent 5 - 3062418,,,,,,,,,,,,,
,Device Model,Kestrel D3 FIRE,,,,,,,,,,,,,
,Serial Number,3062418,,,,,,,,,,,,,
,FORMATTED DATE_TIME,Temperature,Wet Bulb Temp,Relative Humidity,Station Pressure,Heat Index,Dew Point,Data Type,Record name,Start time,Duration (H:M:S),Location description,Location address,Location coordinates,Notes
,yyyy-MM-dd hh:mm:ss a,°C,°C,%,mb,°C,°C,,,,,,,,
10:20,8/1/2025 10:20,18.6,15.8,75.5,1049.9,18.1,14.1,point,,,,,,,
10:25,8/1/2025 10:25,19.5,15.9,69.2,1053.4,19.1,13.7,point,,,,,,,
10:30,8/1/2025 10:30,20,16,66.1,1050.4,19.6,13.5,point,,,,,,,
10:35,8/1/2025 10:35,20.2,16,64.8,1050,19.9,13.4,point,,,,,,,
10:40,8/1/2025 10:40,20.4,16,63.8,1049.9,20.1,13.3,point,,,,,,,
10:45,8/1/2025 10:45,20.6,16.1,63.2,1049.8,20.2,13.3,point,,,,,,,
10:50,8/1/2025 10:50,20.5,16.1,63.1,1049.8,20.2,13.3,point,,,,,,,
10:55,8/1/2025 10:55,20.3,16,64,1049.5,20,13.3,point,,,,,,,
11:00,8/1/2025 11:00,20,15.7,64.1,1049.7,19.5,13,point,,,,,,,
11:05,8/1/2025 11:05,19.8,15.7,65.5,1049.6,19.3,13.2,point,,,,,,,
11:10,8/1/2025 11:10,19.9,15.8,65.5,1049.7,19.3,13.2,point,,,,,,,
11:15,8/1/2025 11:15,19.6,15.6,66.4,1050.8,19,13.1,point,,,,,,,
11:20,8/1/2025 11:20,19.7,16.2,69.6,1050.6,19.4,14,point,,,,,,,
11:25,8/1/2025 11:25,19.8,16,68.1,1050.7,19.3,13.7,point,,,,,,,
11:30,8/1/2025 11:30,19.9,16.1,67.6,1054.1,19.6,13.7,point,,,,,,,
11:35,8/1/2025 11:35,20.6,16.8,68.5,1049.5,20.5,14.6,point,,,,,,,
11:40,8/1/2025 11:40,20.9,16.8,65.7,1049.5,20.8,14.3,point,,,,,,,
11:45,8/1/2025 11:45,21.2,16.8,63.8,1049.3,21.1,14.1,point,,,,,,,
11:50,8/1/2025 11:50,21.3,16.7,62.6,1048.8,21.3,13.9,point,,,,,,,
11:55,8/1/2025 11:55,21.4,16.8,62.6,1047.8,21.3,13.9,point,,,,,,,
12:00,8/1/2025 12:00,21.1,15.8,58.1,1047.6,20.7,12.5,point,,,,,,,
12:05,8/1/2025 12:05,20.8,15.7,58.6,1047.3,20.5,12.4,point,,,,,,,
12:10,8/1/2025 12:10,19.2,13.2,49.9,1047.2,17.7,8.6,point,,,,,,,
12:15,8/1/2025 12:15,19.6,14.6,58.2,1047.6,18.8,11.2,point,,,,,,,
12:20,8/1/2025 12:20,19.3,14,55.5,1046.8,18,10.2,point,,,,,,,
12:25,8/1/2025 12:25,18.9,13.9,57.4,1047.3,17.6,10.3,point,,,,,,,
12:30,8/1/2025 12:30,18.5,13.5,56.9,1047,17,9.8,point,,,,,,,
12:35,8/1/2025 12:35,18.2,13.2,56.8,1046.9,16.8,9.5,point,,,,,,,
12:40,8/1/2025 12:40,18.1,13.2,57,1046.8,16.7,9.5,point,,,,,,,
12:45,8/1/2025 12:45,18,13.1,57,1046.7,16.6,9.4,point,,,,,,,
12:50,8/1/2025 12:50,18.1,13.2,57.3,1046.7,16.6,9.5,point,,,,,,,
