Mean,Max,StdDev
420.0,420.0,
137.0,137.0,
167.0,167.0,
0.7,0.7,
167.7,167.7,
142.0,142.0,
209.0,209.0,
0.09,0.09,
209.9,209.9,
107.0,107.0,
166.0,166.0,
0.0,0.0,
166.0,166.0,
961.43,2830.0,1040.5
22.71,93.0,37.01
38.86,105.0,36.05
14.33,75.9,27.45
53.19,180.9,61.55
11.57,63.0,22.98
31.57,154.0,56.11
11.86,64.9,23.78
43.43,218.9,79.8
90.0,387.0,158.47
219.29,648.0,222.9
23.33,72.7,31.93
244.74,655.9,227.51
8256.67,20920.0,11134.43
25.67,73.0,41.0
69.33,144.0,71.28
23.2,66.0,37.1
72.74,210.0,118.88
10.33,31.0,17.9
12.67,27.0,13.58
14.53,41.0,22.95
23.98,68.0,38.17
37.67,106.0,59.23
116.33,210.0,105.53
25.3,63.0,33.1
94.94,273.0,154.23
